ORGANIZATION_ETXT,NSM_CD,NOTE_ETXT,NOTES_FTXT,PSTREET,PCITY,PPROVINCE,PPOSTAL,PCOUNTRY,MSTREET,MCITY,MPROVINCE,MPOSTAL,MCOUNTRY,CLASS_TYPE_ETXT,CLASS_ETXT,CLASS_TYPE_FTXT,CLASS_FTXT
CAMIONS EXCELLENCE PETERBILT INC. (DRUMMONDVILE),R63,,,5705 Place Kubota,Drummondville,Quebec,J2B 6V4,CANADA,,,,,,Truck Body,Final Stage - Wheelbase Alterations,Camion,Fab. Finale - Modifications d'empattement
CAMIONS EXCELLENCE PETERBILT INC. (DRUMMONDVILE),R63,,,5705 Place Kubota,Drummondville,Quebec,J2B 6V4,CANADA,,,,,,Truck Body,Intermediate Stage - Body and Equipment,Camion,Fab. Intermediarie - Carrosseries et ??quipements
CAMIONS EXCELLENCE PETERBILT INC. (DRUMMONDVILE),R63,,,5705 Place Kubota,Drummondville,Quebec,J2B 6V4,CANADA,,,,,,Truck Body,Intermediate Stage - Wheelbase alterations,Camion,Fab. Intermediaire - Modifications d'empattement
CAMIONS EXCELLENCE PETERBILT INC. (DRUMMONDVILE),R63,,,5705 Place Kubota,Drummondville,Quebec,J2B 6V4,CANADA,,,,,,Truck Body,Vehicle Alterer  - Body and Equipment,Camion,Modificateur de v??hicule -  Installation de carrosseries ou d'??quipements
CAMIONS EXCELLENCE PETERBILT INC. (DRUMMONDVILE),R63,,,5705 Place Kubota,Drummondville,Quebec,J2B 6V4,CANADA,,,,,,Truck Body,Vehicle Alterer - Wheelbase alterations,Camion,Modificateur de v??hicule - Modifications d'empattement
CAMIONS EXCELLENCE PETERBILT INC. (LAVAL),R63,,,"4205 Voie de Desserte Est, Autoroute 13",Laval,Quebec,H7P 0A8,CANADA,,,,,,Truck Body,Final Stage - Body and Equipment,Camion,Fab. Finale - Carrosseries et ??quipements
CAMIONS EXCELLENCE PETERBILT INC. (LAVAL),R63,,,"4205 Voie de Desserte Est, Autoroute 13",Laval,Quebec,H7P 0A8,CANADA,,,,,,Truck Body,Final Stage - Wheelbase Alterations,Camion,Fab. Finale - Modifications d'empattement
CAMIONS EXCELLENCE PETERBILT INC. (LAVAL),R63,,,"4205 Voie de Desserte Est, Autoroute 13",Laval,Quebec,H7P 0A8,CANADA,,,,,,Truck Body,Intermediate Stage - Body and Equipment,Camion,Fab. Intermediarie - Carrosseries et ??quipements
CAMIONS EXCELLENCE PETERBILT INC. (LAVAL),R63,,,"4205 Voie de Desserte Est, Autoroute 13",Laval,Quebec,H7P 0A8,CANADA,,,,,,Truck Body,Intermediate Stage - Wheelbase alterations,Camion,Fab. Intermediaire - Modifications d'empattement
CAMIONS EXCELLENCE PETERBILT INC. (LAVAL),R63,,,"4205 Voie de Desserte Est, Autoroute 13",Laval,Quebec,H7P 0A8,CANADA,,,,,,Truck Body,Vehicle Alterer  - Body and Equipment,Camion,Modificateur de v??hicule -  Installation de carrosseries ou d'??quipements
CAMIONS EXCELLENCE PETERBILT INC. (LAVAL),R63,,,"4205 Voie de Desserte Est, Autoroute 13",Laval,Quebec,H7P 0A8,CANADA,,,,,,Truck Body,Vehicle Alterer - Wheelbase alterations,Camion,Modificateur de v??hicule - Modifications d'empattement
CAMIONS HELIE (2003) INC.,X35,,,"1080, Chemin des Prairies",Joliette,Quebec,J6E 3Z1,CANADA,,,,,,Incomplete Vehicle,Intermediate Stage -- Body and Equipment,Incomplete Vehicle - not translated,Intermediate Stage -- Body and Equipment (not translated)
